date,home_team,away_team,home_prob,draw_prob,away_prob,mode_home,mode_away,mode_prob,over_prob,under_prob,home_CS,away_CS
7 Oct, frt: 0.577  Viktoria Plzen,Teplice RFR: 0.500 ,0.769,0.204,0.027000000000000003,1,0,0.275,0.271,0.7290000000000001,0.873,0.18899999999999997
7 Oct, frt: 0.567  Jablonec,Slovacko RFR: 1.000 ,0.755,0.14,0.10400000000000001,2,1,0.086,0.747,0.253,0.361,0.055999999999999994
7 Oct, frt: 0.478  Opava,Bohemians RFR: 0.500 ,0.35200000000000004,0.255,0.39399999999999996,1,1,0.12,0.521,0.479,0.24,0.263
7 Oct, frt: 0.677  Karvina,Dukla Prague RFR: 1.000 ,0.91,0.062,0.026000000000000002,3,0,0.114,0.809,0.191,0.551,0.023
7 Oct, frt: 0.521  Rosenborg,Sandefjord RFR: 0.500 ,0.812,0.111,0.076,3,1,0.081,0.8079999999999999,0.192,0.363,0.036000000000000004
7 Oct, frt: 0.663  Brann,Lillestrøm RFR: 1.000 ,0.721,0.183,0.095,2,0,0.147,0.508,0.4920000000000001,0.544,0.12300000000000001
7 Oct, frt: 0.440  Bodoe/Glimt,Molde RFR: 0.500 ,0.40299999999999997,0.24600000000000002,0.35100000000000003,1,1,0.114,0.561,0.439,0.245,0.218
7 Oct, frt: 0.872  Odd BK,Ranheim RFR: 1.000 ,0.669,0.18100000000000002,0.15,2,1,0.09699999999999999,0.6609999999999999,0.33899999999999997,0.354,0.094
7 Oct, frt: 0.448  Kristiansund,Tromsø RFR: 0.500 ,0.478,0.278,0.244,1,0,0.14400000000000002,0.38799999999999996,0.612,0.413,0.258
7 Oct, frt: 0.171  Start,Sarpsborg 08 RFR: 0.000 ,0.32299999999999995,0.252,0.424,1,1,0.11900000000000001,0.525,0.475,0.223,0.27899999999999997
7 Oct, frt: 0.331  Ull/Kisa,Mjoendalen RFR: 0.000 ,0.134,0.21,0.6559999999999999,0,1,0.136,0.493,0.507,0.147,0.483
7 Oct, frt: 0.893  Hamarkamer.,Aalesund FK RFR: 1.000 ,0.267,0.23199999999999998,0.501,1,1,0.107,0.585,0.415,0.16699999999999998,0.287
7 Oct, frt: 0.274  Viking,Tromsdalen RFR: 0.000 ,0.718,0.168,0.114,2,0,0.111,0.633,0.3670000000000001,0.426,0.09
7 Oct, frt: 0.511  Sandnes Ulf,Sogndal RFR: 0.500 ,0.293,0.38299999999999995,0.324,0,0,0.247,0.166,0.8340000000000001,0.484,0.51
7 Oct, frt: 0.335  Kongsvinger,Åsane RFR: 0.000 ,0.629,0.222,0.14800000000000002,1,0,0.139,0.475,0.525,0.47200000000000003,0.161
7 Oct, frt: 0.456  Jerv,Levanger RFR: 1.000 ,0.61,0.223,0.16699999999999998,1,0,0.126,0.503,0.4970000000000001,0.43,0.158
7 Oct, frt: 0.213  Nest Sotra,Notodden RFR: 0.000 ,0.439,0.255,0.306,1,1,0.121,0.508,0.4920000000000001,0.299,0.22399999999999998
7 Oct, frt: 0.887  Stroemmen,Floroe RFR: 1.000 ,0.644,0.18600000000000005,0.17,2,1,0.096,0.679,0.321,0.319,0.095
7 Oct, frt: 0.677  FC Midtjylland,Vendsyssel RFR: 1.000 ,0.91,0.063,0.026000000000000002,3,0,0.11599999999999999,0.804,0.196,0.556,0.024
7 Oct, frt: 0.361  FC Kobenhavn,Randers FC RFR: 0.000 ,0.846,0.086,0.065,4,1,0.07,0.903,0.09699999999999999,0.282,0.017
7 Oct, frt: 0.228  Aalborg BK,Brondby IF RFR: 0.000 ,0.248,0.29,0.462,0,1,0.154,0.35100000000000003,0.649,0.28300000000000003,0.431
7 Oct, frt: 0.202  AC Horsens,Esbjerg RFR: 0.500 ,0.341,0.368,0.29,0,0,0.225,0.18899999999999997,0.8109999999999999,0.496,0.45399999999999996
7 Oct, frt: 0.066  Hobro IK,Nordsjælland RFR: 0.000 ,0.22899999999999998,0.34299999999999997,0.428,0,0,0.19899999999999998,0.22,0.78,0.375,0.532
7 Oct, frt: 0.939  San Jose,The Strongest RFR: 1.000 ,0.29,0.19699999999999998,0.513,1,2,0.08,0.777,0.223,0.095,0.172
7 Oct, frt: 0.440  Bolivar,Royal Pari RFR: 0.500 ,0.597,0.299,0.10400000000000001,1,0,0.251,0.21899999999999997,0.7809999999999999,0.703,0.285
7 Oct, frt: 0.568  Blooming,Wilstermann RFR: 1.000 ,0.4970000000000001,0.253,0.249,1,1,0.12,0.479,0.521,0.358,0.21
7 Oct, frt: 0.126  Aurora,Oriente RFR: 0.500 ,0.37,0.39899999999999997,0.231,0,0,0.27699999999999997,0.139,0.861,0.589,0.47100000000000003
7 Oct, frt: 0.522  Universitario,Real Potosi RFR: 1.000 ,0.47700000000000004,0.24100000000000002,0.282,1,1,0.113,0.556,0.444,0.29100000000000004,0.187
