9 Nov,GFC Ajaccio,Troyes,0.152,0.268,0.580,0,1,0.189,0.333,0.667,0.236,0.554
9 Nov,Le Havre,Sochaux,0.465,0.294,0.240,1,0,0.161,0.335,0.665,0.448,0.289
9 Nov,Red Star,Béziers,0.168,0.253,0.579,0,1,0.161,0.398,0.602,0.209,0.492
9 Nov,Lille,Strasbourg,0.789,0.144,0.067,2,0,0.146,0.583,0.417,0.564,0.086
9 Nov,PEC Zwolle,Willem II,0.359,0.224,0.417,1,1,0.095,0.669,0.331,0.167,0.192
9 Nov,Persib Bandung,PSMS,0.667,0.199,0.133,2,0,0.124,0.537,0.463,0.457,0.130
9 Nov,Madura Utd,Bhayangkara,0.596,0.223,0.181,1,0,0.116,0.526,0.474,0.399,0.155
9 Nov,Mitra Kukar,Persela Lam.,0.627,0.182,0.191,2,1,0.090,0.738,0.262,0.261,0.082
9 Nov,Sport. Siegen,Ennepetal,0.069,0.179,0.752,0,2,0.175,0.446,0.554,0.132,0.646
9 Nov,Rot Weiss Ahlen,Paderborn B,0.434,0.161,0.404,3,3,0.050,0.953,0.047,0.043,0.039
9 Nov,Bad Vilbel,KSV Baunatal,0.211,0.218,0.571,1,1,0.102,0.589,0.411,0.142,0.332
9 Nov,Barockstadt,Hünfelder SV,0.832,0.092,0.074,4,1,0.069,0.905,0.095,0.262,0.017
9 Nov,Memmingen,Garching,0.627,0.175,0.197,2,1,0.084,0.779,0.221,0.230,0.071
9 Nov,Buchbach,FC Augsburg B,0.345,0.210,0.445,1,2,0.080,0.740,0.260,0.128,0.165
9 Nov,Nöttingen,Bahlinger SC,0.244,0.176,0.580,1,2,0.071,0.835,0.165,0.063,0.163
9 Nov,Adanaspor,Gaziantep FK,0.026,0.116,0.858,0,2,0.201,0.507,0.493,0.087,0.774
9 Nov,Paderborn,Holstein Kiel,0.513,0.234,0.253,1,1,0.110,0.563,0.437,0.310,0.171
9 Nov,Sandhausen,MSV Duisburg,0.288,0.286,0.426,0,1,0.135,0.384,0.616,0.286,0.378
9 Nov,Hannover 96,Wolfsburg,0.122,0.243,0.636,0,1,0.188,0.363,0.637,0.201,0.583
9 Nov,Yeni Malatyaspo,Trabzonspor,0.434,0.255,0.311,1,1,0.121,0.511,0.489,0.294,0.225
9 Nov,Maritzburg Utd,Highlands Park,0.000,0.779,0.221,0,0,0.779,0.002,0.998,0.779,1.000
9 Nov,Moreirense,Portimonense,0.576,0.300,0.124,1,0,0.236,0.235,0.765,0.658,0.286
9 Nov,Vitoria Setubal,Feirense,0.585,0.343,0.072,1,0,0.298,0.139,0.861,0.811,0.342
9 Nov,Dunkerque,Lyon Duchère,0.112,0.151,0.738,0,2,0.091,0.714,0.286,0.066,0.374
9 Nov,Rodez Aveyron,Quevilly Rouen,0.403,0.388,0.209,0,0,0.267,0.148,0.852,0.605,0.441
9 Nov,Tours,Boulogne,0.189,0.347,0.464,0,1,0.217,0.199,0.801,0.366,0.591
9 Nov,Chambly,Entente SSG,0.526,0.293,0.182,1,0,0.190,0.300,0.700,0.534,0.276
9 Nov,Marignane,Concarneau,0.428,0.276,0.296,1,1,0.130,0.420,0.580,0.351,0.268
9 Nov,Avranches,Cholet,0.349,0.462,0.189,0,0,0.371,0.079,0.921,0.686,0.541
9 Nov,Pau FC,Drancy,0.886,0.094,0.020,2,0,0.190,0.567,0.433,0.778,0.067
9 Nov,Villefranche,Bourg-Peronnas,0.412,0.383,0.205,0,0,0.261,0.153,0.847,0.605,0.431
9 Nov,Sandersdorf,Luckenwalde,0.353,0.278,0.369,1,1,0.131,0.426,0.574,0.299,0.309
9 Nov,Neustrelitz,Hansa Rostock B,0.430,0.366,0.203,0,0,0.238,0.175,0.825,0.591,0.403
9 Nov,SC Staaken,Malchower,0.685,0.176,0.139,2,0,0.097,0.659,0.341,0.371,0.091
9 Nov,Hapoel Katamon,Hapoel Nir RH,0.618,0.216,0.166,1,0,0.117,0.531,0.469,0.414,0.146
9 Nov,H. Ramat Gan,Hap. Ashkelon,0.034,0.314,0.652,0,1,0.325,0.139,0.861,0.309,0.896
9 Nov,Hap. Marmorek,Hapoel Nazareth,0.115,0.287,0.598,0,1,0.234,0.251,0.749,0.267,0.663
