"date","home_team","away_team","home_prob","draw_prob","away_prob","mode_home","mode_away","mode_prob","over_prob","under_prob","home_CS","away_CS"
"Sat 20 Oct","Bristol Rovers","Oxford Utd",0.512555895067623,0.25669207281704,0.230751321033305,1,0,0.128958271313608,0.450867230727553,0.549132769272447,0.390451643828587,0.214626955189936
"Sat 20 Oct","Shrewsbury","Sunderland",0.214010552608472,0.276833935189944,0.509155263128057,0,1,0.157712270508077,0.369238534519677,0.630761465480323,0.251245384001804,0.454434560168888
"Sat 20 Oct","Peterborough","Accrington",0.683461359513852,0.168539117208583,0.147917653229096,2,1,0.0918553300277549,0.718920323563025,0.281079676436975,0.318771919789175,0.0755711490084851
"Sat 20 Oct","Wycombe","Scunthorpe",0.392778735196098,0.224338211120564,0.382878782020983,1,1,0.0941949445542803,0.671058526722146,0.328941473277854,0.179725732843719,0.17546397197874
"Sat 20 Oct","Doncaster","Gillingham",0.756613162543694,0.144464922806322,0.0987864218358288,2,0,0.097561505824751,0.705816202729443,0.294183797270557,0.402282550837875,0.064671911809636
"Sat 20 Oct","Luton Town","Walsall",0.45559878462955,0.27636624706534,0.268034768283886,1,0,0.13367700856235,0.406526756039153,0.593473243960847,0.381596381021258,0.260204025075463
"Sat 20 Oct","Charlton","Barnsley",0.251095716486868,0.282897877030297,0.466006253301184,0,1,0.146215786088428,0.375801846288176,0.624198153711824,0.269195786636613,0.413892356037105
"Sat 20 Oct","Blackpool","Wimbledon",0.538960786194292,0.316563949775782,0.144475215734408,1,0,0.229971728838223,0.223526818331602,0.776473181668398,0.633278877433879,0.310456084173941
"Sat 20 Oct","Portsmouth","Fleetwood",0.549683476398582,0.266639794503387,0.183676296268568,1,0,0.16504717281743,0.372393163607579,0.627606836392421,0.487177116801894,0.231624073118101
"Sat 20 Oct","Bradford","Rochdale",0.271450897367086,0.224720589803878,0.503823594017311,1,1,0.100758424950408,0.622964412223294,0.377035587776706,0.152215016865723,0.264127813843279
"Sat 20 Oct","Southend Utd","Coventry City",0.471595695395951,0.295363383906238,0.233040832837761,1,0,0.164568309074457,0.328926177327487,0.671073822672513,0.458744405138416,0.288968473097377
"Tue 23 Oct","Portsmouth","Burton Albion",0.681807916303803,0.215333134621601,0.102855893087651,1,0,0.175400264603103,0.410876699025724,0.589123300974276,0.588400428469507,0.165998053687641
"Tue 23 Oct","Southend Utd","Walsall",0.355901620647899,0.259137377076769,0.38496062444904,1,1,0.123038767775437,0.501507088086306,0.498492911913694,0.253721661849493,0.270181966809317
"Tue 23 Oct","Bristol Rovers","Wimbledon",0.423728359746218,0.329350738402209,0.246920887986382,1,0,0.180895630869763,0.253271930968679,0.746728069031321,0.491945734410572,0.356921618072842
"Tue 23 Oct","Shrewsbury","Barnsley",0.158706064026197,0.292786609249363,0.548507197723198,0,1,0.204456096135085,0.281071894878205,0.718928105121795,0.27472963862118,0.576026952156821
"Tue 23 Oct","Peterborough","Fleetwood",0.579148052540125,0.211555739718482,0.209286205174484,2,1,0.0985260868963787,0.617915214774399,0.382084785225601,0.316757413111194,0.130033803043257
"Tue 23 Oct","Wycombe","Rochdale",0.364190179272423,0.212989835538993,0.422809561949965,1,1,0.0814001453469367,0.727855735025857,0.272144264974143,0.140285420981971,0.162687777745581
"Tue 23 Oct","Plymouth","Gillingham",0.26118869987918,0.232271637072241,0.506536662074338,1,1,0.107724091226207,0.57891771980151,0.42108228019849,0.167376208155236,0.294665451846428
"Tue 23 Oct","Luton Town","Accrington",0.463501395866592,0.273640887698723,0.262857475387986,1,0,0.133004959539209,0.413091751979284,0.586908248020716,0.382390309476466,0.253295637943235
"Tue 23 Oct","Bradford","Coventry City",0.301877814493205,0.355608839713916,0.342513343791942,0,0,0.20586611660857,0.211622205446888,0.788377794553112,0.437968407568959,0.470047867925794
"Tue 23 Oct","Blackpool","Scunthorpe",0.571023124494151,0.252816118620414,0.176159902963457,1,0,0.15535043798056,0.407387358849191,0.592612641150809,0.475555533356381,0.208115873306391
"Tue 23 Oct","Charlton","Oxford Utd",0.724687476466408,0.160744940005906,0.114497441251254,2,0,0.101780468137497,0.670559303335888,0.329440696664112,0.399812050755163,0.0790794957699278
"Tue 23 Oct","Doncaster","Sunderland",0.457883768459585,0.25377321818634,0.288342308865951,1,1,0.1205627895088,0.50326812242568,0.49673187757432,0.313778293440795,0.216911088220907
"Sat 27 Oct","Fleetwood","Blackpool",0.287332829583297,0.375427026885232,0.337240142692446,0,0,0.235943504560099,0.177272994166771,0.822727005833229,0.465774946670195,0.50656117519606
"Sat 27 Oct","Burton Albion","Peterborough",0.11655422946995,0.167773773437382,0.715624634229467,0,2,0.108401573600511,0.640853205496183,0.359146794503817,0.0883746907522963,0.416749198715697
"Sat 27 Oct","Accrington","Portsmouth",0.148917512320814,0.225200554638137,0.625878908315945,0,1,0.142603310320519,0.464372666064692,0.535627333935308,0.166329724764915,0.477956619201662
"Sat 27 Oct","Wimbledon","Luton Town",0.164596493102097,0.253570607166105,0.581832104207376,0,1,0.164201098602117,0.390703121351102,0.609296878648898,0.210526405689016,0.500566166749907
"Sat 27 Oct","Scunthorpe","Plymouth",0.534885701836481,0.224740825238427,0.240368642569351,1,1,0.103617507475475,0.593913568151472,0.406086431848528,0.303066376649742,0.152049692709676
"Sat 27 Oct","Gillingham","Bradford",0.476392565992682,0.241736722547147,0.281869148611995,1,1,0.113404942363444,0.551516253617483,0.448483746382517,0.293628743416936,0.189439245549897
"Sat 27 Oct","Walsall","Wycombe",0.492277435416323,0.252772092179787,0.254949625812034,1,1,0.120220394991192,0.485722538181882,0.514277461818118,0.349420141141694,0.209068815864887
"Sat 27 Oct","Barnsley","Bristol Rovers",0.585966123264977,0.27608046403018,0.137953149184311,1,0,0.206198043828788,0.298470667787771,0.701529332212229,0.595553373420067,0.249112651784693
"Sat 27 Oct","Oxford Utd","Shrewsbury",0.228789519841691,0.256978408433084,0.514231369802292,0,1,0.130188399780474,0.448087735804004,0.551912264195996,0.21505205135589,0.39390346274675
"Sat 27 Oct","Coventry City","Doncaster",0.1095611823868,0.243660043594238,0.646777848614857,0,1,0.200853803613012,0.340774616982044,0.659225383017956,0.205359540300133,0.617853890815007
"Sat 27 Oct","Sunderland","Southend Utd",0.576195318193897,0.214519729912035,0.20927664672426,1,1,0.0989083770081133,0.60394567649388,0.39605432350612,0.324767263059983,0.135462120979186
"Sat 27 Oct","Rochdale","Charlton",0.212166811835076,0.195007706994388,0.592795358501056,1,2,0.093253734210262,0.703059297107344,0.296940702892656,0.0998548730678957,0.264734640283702
"Sat 3 Nov","Charlton","Doncaster",0.266138728122823,0.262245363754716,0.4716154463085,1,1,0.124354903074848,0.456473058501829,0.543526941498171,0.230401787906716,0.355871482379769
"Sat 3 Nov","Wycombe","Peterborough",0.0886207246949901,0.118435334237161,0.792318719949549,1,3,0.0809419031331979,0.813982931981341,0.186017068018659,0.0371866253996997,0.332381022007093
"Sat 3 Nov","Walsall","Burton Albion",0.430899525826323,0.304062381989447,0.265038048515207,1,0,0.157760759271454,0.320480870330008,0.679519129669992,0.433452446516986,0.315522817858881
"Sat 3 Nov","Plymouth","Sunderland",0.0954020214063816,0.16978141561066,0.734789757574025,0,2,0.134500725740659,0.567225311700187,0.432774688299813,0.102736083675699,0.505628129845485
"Sat 3 Nov","Gillingham","Fleetwood",0.217371580777752,0.230812246490786,0.551813001594778,1,1,0.109269033574682,0.540961943376852,0.459038056623148,0.164975776894482,0.352741639713399
"Sat 3 Nov","Coventry City","Accrington",0.22924857148745,0.325526090723886,0.445225317888985,0,1,0.186721939389324,0.254743246173514,0.745256753826486,0.343240464237242,0.508730223493182
"Sat 3 Nov","Bradford","Portsmouth",0.0671904782944554,0.157918883294315,0.77486521995511,0,2,0.160811673692925,0.522640824580416,0.477359175419584,0.104128133947228,0.603576248207206
"Sat 3 Nov","Wimbledon","Shrewsbury",0.244964497313791,0.330044463503516,0.424991025519821,0,1,0.182107556199082,0.25115730098305,0.74884269901695,0.35739474130489,0.495222720184871
"Sat 3 Nov","Scunthorpe","Oxford Utd",0.531759750438627,0.196048853601887,0.272153311706466,2,1,0.0826864417803212,0.765796916627264,0.234203083372736,0.188100205627258,0.0947934590615865
"Sat 3 Nov","Rochdale","Luton Town",0.21965308575341,0.2030070804792,0.577321353734427,1,2,0.0954033816279196,0.673593746742819,0.326406253257181,0.112846316727474,0.275704494712058
"Sat 3 Nov","Barnsley","Southend Utd",0.6302774699572,0.218228584444559,0.151489489051786,1,0,0.131271096346669,0.495608795445936,0.504391204554064,0.455412184125753,0.154163034826303
"Sat 3 Nov","Blackpool","Bristol Rovers",0.431745876513663,0.375731299490416,0.192522821128178,0,0,0.254356693640595,0.159065634741605,0.840934365258395,0.615410011034368,0.413312569426111
"Sat 17 Nov","Southend Utd","Blackpool",0.242317280176372,0.308456111793671,0.449226566131818,0,1,0.170160857233248,0.299519684387139,0.700480315612861,0.31619083170557,0.46739129775912
"Sat 17 Nov","Bristol Rovers","Scunthorpe",0.421134692915208,0.2656396544692,0.313225360105774,1,1,0.126262568006624,0.465552354824909,0.534447645175091,0.315325640994274,0.25095094540676
"Sat 17 Nov","Shrewsbury","Rochdale",0.423398003360976,0.253434111382134,0.323167270261575,1,1,0.119940047253638,0.519675520221157,0.480324479778843,0.281556592118612,0.225989736416025
"Sat 17 Nov","Burton Albion","Coventry City",0.368443996200551,0.37195497780935,0.259601024583252,0,0,0.233739557561962,0.179586221519745,0.820413778480255,0.529998286663986,0.441019458203108
"Sat 17 Nov","Accrington","Barnsley",0.176792157958365,0.258800195311188,0.564407013061888,0,1,0.161402289233441,0.388962299802974,0.611037700197026,0.218356132860995,0.485775440952862
"Sat 17 Nov","Fleetwood","Walsall",0.417894805250822,0.29779975052365,0.284305391867522,1,0,0.146147949483212,0.345047383629493,0.654952616370507,0.402479113391754,0.310308148010886
"Sat 17 Nov","Doncaster","Wimbledon",0.723451702458998,0.185341329347359,0.0911961621068858,2,0,0.152759074911751,0.488922435807849,0.511077564192151,0.564835236260217,0.127686668121557
"Sat 17 Nov","Oxford Utd","Gillingham",0.297681962311218,0.202322259739993,0.49997095438248,1,2,0.0826363526098585,0.75387910008408,0.24612089991592,0.106893002580085,0.180845619913393
"Sat 17 Nov","Luton Town","Plymouth",0.680161774665786,0.205418524651258,0.11441397926567,1,0,0.149114375032567,0.470410061365434,0.529589938634566,0.529932997838348,0.146494479148038
"Sat 17 Nov","Portsmouth","Charlton",0.544055468104941,0.250566095820825,0.205377426567668,1,0,0.134981489852981,0.448667488879237,0.551332511120763,0.417391823080027,0.202494653427571
